"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"DESCRIPTION";"MF";"MP";"MPN";"OC_NEWARK";"PACKAGE";"PRICE";"PROD_ID";"SF_ID";"SF_SKU";"VALUE";
"2";"";"LEDCHIPLED_0805";"CHIPLED_0805";"RX, TX";"LED";"";"";"";"";"LG R971-KN-1";"unknown";"";"";"";"";"";"";
"2";"";"M02PTH";"1X02";"J1, J2";"Standard 2-pin 0.1" header. Use with";"";"";"";"";"";"";"";"";"";"";"";"";
"12";"0.1uF";"MICROBUILDER_CAP_CERAMIC_0402MP";"MICROBUILDER__0402MP";"C3, C5, C6, C7, C8, C11, C12, C15, C16, C17, C19, C20";"Ceramic Capacitors";"";"";"";"";"GRM155R71C104KA88J";"";"";"";"";"";"";"";
"2";"0878980426";"0878980426";"CONN_4POS_VERT_2.54_SMD";"U$4, U$5";"CONN HEADER 4POS VERT 2.54MM SMD";"";"";"";"";"0878980426";"";"";"";"";"";"";"";
"2";"100";"MICROBUILDER_RESISTOR_0402MP";"MICROBUILDER__0402MP";"R25, R32";"Resistors";"";"";"";"";"RC0402FR-07100RL";"";"";"";"";"";"";"";
"2";"100K";"MICROBUILDER_RESISTOR_0402MP";"MICROBUILDER__0402MP";"R9, R12";"Resistors";"";"";"";"";"RC0402FR-07100KL";"";"";"";"";"";"";"";
"11";"10K";"MICROBUILDER_RESISTOR_0402MP";"MICROBUILDER__0402MP";"R5, R6, R7, R10, R13, R16, R21, R26, R28, R29, R30";"Resistors";"";"";"";"";"RC0402JR-0710KL";"";"";"";"";"";"";"";
"1";"10uF";"CAP0805";"0805";"C4";"Capacitor";"";"";"";"";"CC0805KKX5R6BB106";"";"";"";"";"";"";"";
"2";"10uF";"MICROBUILDER_CAP_CERAMIC_0402MP";"MICROBUILDER__0402MP";"C9, C22";"Ceramic Capacitors";"";"";"";"";"GRJ155R60J106ME11D";"";"";"";"";"";"";"";
"2";"120mA/40V/370mV";"DIODE-SCHOTTKY-RB751S40";"SOD-523";"D3, D4";"Schottky diode";"";"";"";"";"RB751S40T1G";"";"";"";"DIO-11018";"";"";"120mA/40V/370mV";
"1";"16 MHz";"RESONATORSMD";"RESONATOR-SMD";"X1";"Resonator";"";"";"";"";"CSTCE16M0V53-R0";"";"";"";"";"";"";"";
"4";"1K";"MICROBUILDER_RESISTOR_0402MP";"MICROBUILDER__0402MP";"R19, R20, R22, R27";"Resistors";"";"";"";"";"RC0402JR-071KL";"";"";"";"";"";"";"";
"1";"1uF";"CAP0805";"0805";"C1";"Capacitor";"";"";"";"";"CC0805ZRY5V8BB105";"";"";"";"";"";"";"";
"4";"1uF";"MICROBUILDER_CAP_CERAMIC_0402MP";"MICROBUILDER__0402MP";"C2, C18, C23, C24";"Ceramic Capacitors";"";"";"";"";"CC0402KRX5R6BB105";"";"";"";"";"";"";"";
"1";"2.2K";"MICROBUILDER_RESISTOR_0402MP";"MICROBUILDER__0402MP";"R23";"Resistors";"";"";"";"";"RC0402FR-072K2L";"";"";"";"";"";"";"";
"1";"22K";"MICROBUILDER_RESISTOR_0402MP";"MICROBUILDER__0402MP";"R31";"Resistors";"";"";"";"";"RC0402JR-0722KL";"";"";"";"";"";"";"";
"2";"27";"MICROBUILDER_RESISTOR_0402MP";"MICROBUILDER__0402MP";"R11, R15";"Resistors";"";"";"";"";"RC0402JR-0727RL";"";"";"";"";"";"";"";
"3";"470";"MICROBUILDER_RESISTOR_0402MP";"MICROBUILDER__0402MP";"R4, R17, R18";"Resistors";"";"";"";"";"RC0402JR-07470RL";"";"";"";"";"";"";"";
