Designator,Manufacturer Part Number,Quantity
"RX, TX",LG R971-KN-1,2
"C3, C5, C6, C7, C8, C11, C12, C15, C16, C17, C19, C20",GRM155R71C104KA88D,12
"U$4, U$5",87898-0426,2
"R25, R32",RC0402FR-07100RL,2
"R9, R12",RC0402FR-07100KL,2
"R5, R6, R7, R10, R13, R16, R21, R26, R28, R29, R30",RC0402JR-0710KL,11
C4,CC0805KKX5R6BB106,1
"C9, C22",GRJ155R60J106ME11D,2
"D3, D4",RB751S40T1G,2
X1,CSTCE16M0V53-R0,1
"R19, R20, R22, R27",RC0402JR-071KL,4
C1,CC0805ZRY5V8BB105,1
"C2, C18, C23, C24",CC0402KRX5R6BB105,4
R23,RC0402FR-072K2L,1
R31,RC0402JR-0722KL,1
"R11, R15",RC0402JR-0727RL,2
"R4, R17, R18",RC0402JR-07470RL,3
R24,RC0402FR-071ML,1
U11,RFM69HCW,1
U5,ATMEGA328P-MU,1
U9,BMP280,1
U13,CCS811B-JOPD500,1
U2,FT231XQ-R,1
U17,LM324QT,1
U8,MCP1703T-3302E/CB,1
MK1,TOM-1545P-R,1
S1,RS-032G05A3-SM RT,1
U1,3484,1
U4,SI7021-A20-GM1,1
D1,SD103AW-13-F,1
U10,TSL25911FN,1
J3,ZX62-B-5PA(33),1
U12,MH-Z19,1
