"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"DESCRIPTION";"MF";"MP";"MPN";"OC_NEWARK";"PACKAGE";"PRICE";"PROD_ID";"SF_ID";"SF_SKU";"VALUE";
"C1";"1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"CC0805ZRY5V8BB105";"";"";"";"";"";"";"";
"C2";"1uF";"MICROBUILDER_CAP_CERAMIC_0402MP";"MICROBUILDER__0402MP";"Ceramic Capacitors";"";"";"";"";"CC0402KRX5R6BB105";"";"";"";"";"";"";"";
"C3";"0.1uF";"MICROBUILDER_CAP_CERAMIC_0402MP";"MICROBUILDER__0402MP";"Ceramic Capacitors";"";"";"";"";"GRM155R71C104KA88J";"";"";"";"";"";"";"";
"C4";"10uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"CC0805KKX5R6BB106";"";"";"";"";"";"";"";
"C5";"0.1uF";"MICROBUILDER_CAP_CERAMIC_0402MP";"MICROBUILDER__0402MP";"Ceramic Capacitors";"";"";"";"";"GRM155R71C104KA88J";"";"";"";"";"";"";"";
"C6";"0.1uF";"MICROBUILDER_CAP_CERAMIC_0402MP";"MICROBUILDER__0402MP";"Ceramic Capacitors";"";"";"";"";"GRM155R71C104KA88J";"";"";"";"";"";"";"";
"C7";"0.1uF";"MICROBUILDER_CAP_CERAMIC_0402MP";"MICROBUILDER__0402MP";"Ceramic Capacitors";"";"";"";"";"GRM155R71C104KA88J";"";"";"";"";"";"";"";
"C8";"0.1uF";"MICROBUILDER_CAP_CERAMIC_0402MP";"MICROBUILDER__0402MP";"Ceramic Capacitors";"";"";"";"";"GRM155R71C104KA88J";"";"";"";"";"";"";"";
"C9";"10uF";"MICROBUILDER_CAP_CERAMIC_0402MP";"MICROBUILDER__0402MP";"Ceramic Capacitors";"";"";"";"";"GRJ155R60J106ME11D";"";"";"";"";"";"";"";
"C11";"0.1uF";"MICROBUILDER_CAP_CERAMIC_0402MP";"MICROBUILDER__0402MP";"Ceramic Capacitors";"";"";"";"";"GRM155R71C104KA88J";"";"";"";"";"";"";"";
"C12";"0.1uF";"MICROBUILDER_CAP_CERAMIC_0402MP";"MICROBUILDER__0402MP";"Ceramic Capacitors";"";"";"";"";"GRM155R71C104KA88J";"";"";"";"";"";"";"";
"C15";"0.1uF";"MICROBUILDER_CAP_CERAMIC_0402MP";"MICROBUILDER__0402MP";"Ceramic Capacitors";"";"";"";"";"GRM155R71C104KA88J";"";"";"";"";"";"";"";
"C16";"0.1uF";"MICROBUILDER_CAP_CERAMIC_0402MP";"MICROBUILDER__0402MP";"Ceramic Capacitors";"";"";"";"";"GRM155R71C104KA88J";"";"";"";"";"";"";"";
"C17";"0.1uF";"MICROBUILDER_CAP_CERAMIC_0402MP";"MICROBUILDER__0402MP";"Ceramic Capacitors";"";"";"";"";"GRM155R71C104KA88J";"";"";"";"";"";"";"";
"C18";"1uF";"MICROBUILDER_CAP_CERAMIC_0402MP";"MICROBUILDER__0402MP";"Ceramic Capacitors";"";"";"";"";"CC0402KRX5R6BB105";"";"";"";"";"";"";"";
"C19";"0.1uF";"MICROBUILDER_CAP_CERAMIC_0402MP";"MICROBUILDER__0402MP";"Ceramic Capacitors";"";"";"";"";"GRM155R71C104KA88J";"";"";"";"";"";"";"";
"C20";"0.1uF";"MICROBUILDER_CAP_CERAMIC_0402MP";"MICROBUILDER__0402MP";"Ceramic Capacitors";"";"";"";"";"GRM155R71C104KA88J";"";"";"";"";"";"";"";
"C22";"10uF";"MICROBUILDER_CAP_CERAMIC_0402MP";"MICROBUILDER__0402MP";"Ceramic Capacitors";"";"";"";"";"GRJ155R60J106ME11D";"";"";"";"";"";"";"";
"C23";"1uF";"MICROBUILDER_CAP_CERAMIC_0402MP";"MICROBUILDER__0402MP";"Ceramic Capacitors";"";"";"";"";"CC0402KRX5R6BB105";"";"";"";"";"";"";"";
"C24";"1uF";"MICROBUILDER_CAP_CERAMIC_0402MP";"MICROBUILDER__0402MP";"Ceramic Capacitors";"";"";"";"";"CC0402KRX5R6BB105";"";"";"";"";"";"";"";
"D1";"SOD123";"MICROBUILDER_DIODE-SCHOTTKYSOD-123";"MICROBUILDER_SOD-123";"";"";"";"";"";"SD103AW-13-F";"";"";"";"";"";"";"";
"D3";"120mA/40V/370mV";"DIODE-SCHOTTKY-RB751S40";"SOD-523";"Schottky diode";"";"";"";"";"RB751S40T1G";"";"";"";"DIO-11018";"";"";"120mA/40V/370mV";
"D4";"120mA/40V/370mV";"DIODE-SCHOTTKY-RB751S40";"SOD-523";"Schottky diode";"";"";"";"";"RB751S40T1G";"";"";"";"DIO-11018";"";"";"120mA/40V/370mV";
"H1";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";"";"";"";"";"";"";"";"";"";
"H2";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";"";"";"";"";"";"";"";"";"";
"H3";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";"";"";"";"";"";"";"";"";"";
"J1";"";"M02PTH";"1X02";"Standard 2-pin 0.1" header. Use with";"";"";"";"";"";"";"";"";"";"";"";"";
"J2";"";"M02PTH";"1X02";"Standard 2-pin 0.1" header. Use with";"";"";"";"";"";"";"";"";"";"";"";"";
"J3";"USB-MICROB";"USB-MICROB";"USB-MICROB";"USB Connectors";"";"";"";"";"ZX62-B-5PA(33)";"";"";"";"CONN-09505";"";"";"";
"JP1";"Antenna";"PINHD-1X1CB";"1X01-CLEANBIG";"Pin header 1x1 for 0.1" spacing";"";"";"";"";"Helical antenna";"";"";"";"";"";"";"";
"MK1";"MIC2-PTH";"MIC2-PTH";"MICROPHONE-PTH-4.0MM";"Mini Electret Microphone";"";"";"";"";"TOM-1545P-R";"";"";"";"COMP-08856";"COM-08635";"";"";
"R4";"470";"MICROBUILDER_RESISTOR_0402MP";"MICROBUILDER__0402MP";"Resistors";"";"";"";"";"RC0402JR-07470RL";"";"";"";"";"";"";"";
"R5";"10K";"MICROBUILDER_RESISTOR_0402MP";"MICROBUILDER__0402MP";"Resistors";"";"";"";"";"RC0402JR-0710KL";"";"";"";"";"";"";"";
"R6";"10K";"MICROBUILDER_RESISTOR_0402MP";"MICROBUILDER__0402MP";"Resistors";"";"";"";"";"RC0402JR-0710KL";"";"";"";"";"";"";"";
"R7";"10K";"MICROBUILDER_RESISTOR_0402MP";"MICROBUILDER__0402MP";"Resistors";"";"";"";"";"RC0402JR-0710KL";"";"";"";"";"";"";"";
"R9";"100K";"MICROBUILDER_RESISTOR_0402MP";"MICROBUILDER__0402MP";"Resistors";"";"";"";"";"RC0402FR-07100KL";"";"";"";"";"";"";"";
"R10";"10K";"MICROBUILDER_RESISTOR_0402MP";"MICROBUILDER__0402MP";"Resistors";"";"";"";"";"RC0402JR-0710KL";"";"";"";"";"";"";"";
"R11";"27";"MICROBUILDER_RESISTOR_0402MP";"MICROBUILDER__0402MP";"Resistors";"";"";"";"";"RC0402JR-0727RL";"";"";"";"";"";"";"";
"R12";"100K";"MICROBUILDER_RESISTOR_0402MP";"MICROBUILDER__0402MP";"Resistors";"";"";"";"";"RC0402FR-07100KL";"";"";"";"";"";"";"";
"R13";"10K";"MICROBUILDER_RESISTOR_0402MP";"MICROBUILDER__0402MP";"Resistors";"";"";"";"";"RC0402JR-0710KL";"";"";"";"";"";"";"";
"R15";"27";"MICROBUILDER_RESISTOR_0402MP";"MICROBUILDER__0402MP";"Resistors";"";"";"";"";"RC0402JR-0727RL";"";"";"";"";"";"";"";
